流水序,Unicode,常用字
04331,938a,鎊
04332,9396,鎖
04333,93a2,鎢
04334,93b3,鎳
04335,93ae,鎮
04336,93e1,鏡
04337,93d1,鏑
04338,93df,鏟
04339,93c3,鏃
04340,93c8,鏈
04341,93dc,鏜
04342,93dd,鏝
04343,93d6,鏖
04344,93e2,鏢
04345,93cd,鏍
04346,93d8,鏘
04347,93e4,鏤
04348,93d7,鏗
04349,9418,鐘
04350,9403,鐃
04351,93fd,鏽
04352,942e,鐮
04353,9433,鐳
04354,9435,鐵
04355,943a,鐺
04356,9438,鐸
04357,9432,鐲
04358,9444,鑄
04359,9451,鑑
04360,9452,鑒
04361,9463,鑣
04362,9460,鑠
04363,9472,鑲
04364,9470,鑰
04365,947d,鑽
04366,947e,鑾
04367,947c,鑼
04368,947f,鑿
04369,9577,長
04370,9580,門
04371,9582,閂
04372,9583,閃
04373,9589,閉
04374,9594,閔
04375,958f,閏
04376,958b,開
04377,9591,閑
04378,9593,間
04379,9592,閒
04380,9598,閘
04381,95a1,閡
04382,95a8,閨
04383,95a9,閩
04384,95a3,閣
04385,95a5,閥
04386,95a4,閤
04387,95ad,閭
04388,95b1,閱
04389,95bb,閻
04390,95ca,闊
04391,95cb,闋
04392,95cc,闌
04393,95c8,闈
04394,95c6,闆
04395,95d4,闔
04396,95d6,闖
04397,95d0,闐
04398,95dc,關
04399,95e1,闡
04400,95e2,闢
04401,961c,阜
04402,9621,阡
04403,9632,防
04404,962e,阮
04405,9631,阱
04406,962a,阪
04407,9640,陀
04408,963f,阿
04409,963b,阻
04410,9644,附
04411,9650,限
04412,964b,陋
04413,964c,陌
04414,964d,降
04415,9662,院
04416,9663,陣
04417,9661,陡
04418,965b,陛
04419,965d,陝
04420,9664,除
04421,966a,陪
04422,9675,陵
04423,9673,陳
04424,9678,陸
04425,9670,陰
04426,9674,陴
04427,9676,陶
04428,9677,陷
04429,968a,隊
04430,968e,階
04431,968b,隋
04432,967d,陽
04433,9685,隅
04434,9686,隆
04435,968d,隍
04436,9672,陲
04437,9698,隘
04438,9694,隔
04439,9695,隕
04440,9699,隙
04441,969c,障
04442,969b,際
04443,96a7,隧
04444,96a8,隨
04445,96aa,險
04446,96b1,隱
04447,96b4,隴
04448,96b8,隸
04449,96bb,隻
04450,96c0,雀
04451,96c1,雁
04452,96c5,雅
04453,96c4,雄
04454,96cb,雋
04455,96c6,集
04456,96c7,雇
04457,96cd,雍
04458,96c9,雉
04459,96cc,雌
04460,96d5,雕
04461,96d6,雖
04462,96dc,雜
04463,96d9,雙
04464,96db,雛
04465,96de,雞
04466,96e2,離
04467,96e3,難
04468,96e8,雨
04469,96ea,雪
04470,96ef,雯
04471,96f2,雲
04472,96f7,雷
04473,96fb,電
04474,96f9,雹
04475,96f6,零
04476,9700,需
04477,9704,霄
04478,9706,霆
04479,9707,震
04480,9709,霉
04481,970e,霎
04482,9711,霑
04483,9716,霖
04484,970d,霍
04485,9713,霓
04486,970f,霏
04487,971c,霜
04488,971e,霞
04489,972a,霪
04490,9727,霧
04491,9738,霸
04492,9739,霹
04493,9732,露
04494,973d,霽
04495,973e,霾
04496,9742,靂
04497,9748,靈
04498,9744,靄
04499,9752,青
04500,9756,靖
04501,975b,靛
04502,975c,靜
04503,975e,非
04504,9760,靠
04505,9761,靡
04506,9762,面
04507,9766,靦
04508,9768,靨
04509,9769,革
04510,9774,靴
04511,9776,靶
04512,977c,靼
04513,9785,鞅
04514,978d,鞍
04515,978b,鞋
04516,978f,鞏
04517,9798,鞘
04518,97a0,鞠
04519,97a3,鞣
04520,97a6,鞦
04521,97ad,鞭
04522,97c3,韃
04523,97c1,韁
04524,97c6,韆
04525,97cb,韋
04526,97cc,韌
04527,97d3,韓
04528,97dc,韜
04529,97ed,韭
04530,97f3,音
04531,7ae0,章
04532,7adf,竟
04533,97f6,韶
04534,97fb,韻
04535,97ff,響
04536,9801,頁
04537,9802,頂
04538,9803,頃
04539,9805,項
04540,9806,順
04541,9808,須
04542,9810,預
04543,9811,頑
04544,9813,頓
04545,980a,頊
04546,9812,頒
04547,980c,頌
04548,9817,頗
04549,9818,領
04550,9821,頡
04551,9830,頰
04552,9838,頸
04553,983b,頻
04554,9837,頷
04555,982d,頭
04556,9839,頹
04557,9824,頤
04558,9846,顆
04559,984d,額
04560,984f,顏
04561,984c,題
04562,984e,顎
04563,9853,顓
04564,985e,類
04565,9858,願
04566,985b,顛
04567,9867,顧
04568,986b,顫
04569,986f,顯
04570,9870,顰
04571,9871,顱
04572,98a8,風
04573,98af,颯
04574,98b1,颱
04575,98b3,颳
04576,98b6,颶
04577,98ba,颺
04578,98bc,颼
04579,98c4,飄
04580,98db,飛
04581,98df,食
04582,98e2,飢
04583,98e7,飧
04584,98ea,飪
04585,98ef,飯
04586,98e9,飩
04587,98f2,飲
04588,98ed,飭
04589,98fc,飼
04590,98f4,飴
04591,98fd,飽
04592,98fe,飾
04593,9903,餃
04594,9905,餅
04595,990c,餌
04596,9909,餉
04597,990a,養
04598,9913,餓
04599,9912,餒
04600,9918,餘
04601,9910,餐
04602,9928,館
04603,991e,餞
04604,991b,餛
04605,9921,餡
04606,9935,餵
04607,993e,餾
04608,993f,餿
04609,993d,餽
04610,9945,饅
04611,9952,饒
04612,9951,饑
04613,995c,饜
04614,995e,饞
04615,9996,首
04616,9999,香
04617,99a5,馥
04618,99a8,馨
04619,99ac,馬
04620,99ae,馮
04621,99ad,馭
04622,99b3,馳
04623,99b1,馱
04624,99b4,馴
04625,99c1,駁
04626,99dd,駝
04627,99d0,駐
04628,99df,駟
04629,99db,駛
04630,99d1,駑
04631,99d5,駕
04632,99d2,駒
04633,99d9,駙
04634,99ed,駭
04635,99e2,駢
04636,99f1,駱
04637,9a01,騁
04638,99ff,駿
04639,9a0e,騎
04640,9a16,騖
04641,9a19,騙
04642,9a2b,騫
04643,9a30,騰
04644,9a37,騷
04645,9a45,驅
04646,9a43,驃
04647,9a40,驀
04648,9a3e,騾
04649,9a55,驕
04650,9a5a,驚
04651,9a5b,驛
04652,9a57,驗
04653,9a5f,驟
04654,9a62,驢
04655,9a65,驥
04656,9a6a,驪
04657,9aa8,骨
04658,9aaf,骯
04659,9ab0,骰
04660,9ab7,骷
04661,9ab8,骸
04662,9abc,骼
04663,9acf,髏
04664,9ad2,髒
04665,9ad3,髓
04666,9ad4,體
04667,9ad8,高
04668,9ae6,髦
04669,9aee,髮
04670,9aef,髯
04671,9afb,髻
04672,9aed,髭
04673,9b03,鬃
04674,9b06,鬆
04675,9b0d,鬍
04676,9b1a,鬚
04677,9b22,鬢
04678,9b25,鬥
04679,9b27,鬧
04680,9b28,鬨
04681,9b31,鬱
04682,9b32,鬲
04683,9b3c,鬼
04684,9b41,魁
04685,9b42,魂
04686,9b45,魅
04687,9b44,魄
04688,9b4f,魏
04689,9b54,魔
04690,9b58,魘
04691,9b5a,魚
04692,9b77,魷
04693,9b6f,魯
04694,9b91,鮑
04695,9bae,鮮
04696,9bab,鮫
04697,9baa,鮪
04698,9bca,鯊
04699,9bc9,鯉
04700,9bfd,鯽
04701,9be8,鯨
04702,9be7,鯧
04703,9c13,鰓
04704,9c0d,鰍
04705,9c2d,鰭
04706,9c25,鰥
04707,9c49,鱉
04708,9c31,鰱
04709,9c3e,鰾
04710,9c3b,鰻
04711,9c54,鱔
04712,9c57,鱗
04713,9c56,鱖
04714,9c77,鱷
04715,9c78,鱸
04716,9ce5,鳥
04717,9ce9,鳩
04718,9cf4,鳴
04719,9cf6,鳶
04720,9cf3,鳳
04721,9d06,鴆
04722,9d09,鴉
04723,9d15,鴕
04724,9d23,鴣
04725,9d26,鴦
04726,9d28,鴨
04727,9d12,鴒
04728,9d1b,鴛
04729,9d3b,鴻
04730,9d3f,鴿
04731,9d51,鵑
04732,9d5d,鵝
04733,9d60,鵠
04734,9d89,鶉
04735,9d61,鵡
04736,9d72,鵲
04737,9d6a,鵪
04738,9d6c,鵬
04739,9daf,鶯
04740,9db4,鶴
04741,9dc2,鷂
04742,9dd3,鷓
04743,9dd7,鷗
04744,9de5,鷥
04745,9df9,鷹
04746,9dfa,鷺
04747,9e1a,鸚
04748,9e1e,鸞
04749,9e79,鹹
04750,9e7c,鹼
04751,9e7d,鹽
04752,9e7f,鹿
04753,9e82,麂
04754,9e8b,麋
04755,9e92,麒
04756,9e97,麗
04757,9e93,麓
04758,9e9d,麝
04759,9e9f,麟
04760,9ea5,麥
04761,9ea9,麩
04762,9eb4,麴
04763,9eb5,麵
04764,9ebb,麻
04765,9ebc,麼
04766,9ebe,麾
04767,9ec3,黃
04768,9ecd,黍
04769,9ece,黎
04770,9ecf,黏
04771,9ed1,黑
04772,58a8,墨
04773,9ed8,默
04774,9ed4,黔
04775,9ede,點
04776,9edc,黜
04777,9edd,黝
04778,9edb,黛
04779,9ee0,黠
04780,9ee8,黨
04781,9eef,黯
04782,9ef4,黴
04783,9ef7,黷
04784,9f07,鼇
04785,9f0e,鼎
04786,9f13,鼓
04787,9f15,鼕
04788,9f19,鼙
04789,9f20,鼠
04790,9f2c,鼬
04791,9f34,鼴
04792,9f3b,鼻
04793,9f3e,鼾
04794,9f4a,齊
04795,9f4b,齋
04796,9f52,齒
04797,9f5f,齟
04798,9f63,齣
04799,9f61,齡
04800,9f5c,齜
04801,9f66,齦
04802,9f6c,齬
04803,9f6a,齪
04804,9f77,齷
04805,9f72,齲
04806,9f8d,龍
04807,9f94,龔
04808,9f9c,龜
